Installment,Region,Channel,Platform,GameType,ReserveType,ReleaseYear,ReleaseMonth,RelativeWeek,Version,FinalPrice,ReservesLevel
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,7,1,22.06234054,31326
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,9,1,22.06234054,33708
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,10,1,22.06234054,20709
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,11,1,22.06234054,19727
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,12,1,22.06234054,6647
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,13,1,22.06234054,31337
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,15,1,22.06234054,19428
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,17,1,22.06234054,14177
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,18,1,22.06234054,4475
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,19,1,22.06234054,4230
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,20,1,22.06234054,5190
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,21,1,22.06234054,12662
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,23,1,22.06234054,515
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,24,1,22.06234054,22418
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,25,1,22.06234054,2512
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,26,1,22.06234054,14089
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,27,1,22.06234054,13517
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,28,1,22.06234054,713
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,29,1,22.06234054,667
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,30,1,22.06234054,18140
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,31,1,22.06234054,9249
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,32,1,22.06234054,240
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,33,1,22.06234054,11961
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,37,1,22.06234054,540
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,39,1,22.06234054,998
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,41,1,22.06234054,904
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,42,1,22.06234054,861
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,44,1,22.06234054,402
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,45,1,22.06234054,369
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,47,1,22.06234054,382
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,48,1,22.06234054,336
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,10,49,1,22.06234054,327
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,2,1,22.06234054,1060
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,7,1,22.06234054,901
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,8,1,22.06234054,188
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,9,1,22.06234054,777
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,11,1,22.06234054,161
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,12,1,22.06234054,564
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,14,1,22.06234054,495
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,15,1,22.06234054,24
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,16,1,22.06234054,515
RPG 3,CAN,Retail,XBOX,NonCasual,PreOrder,2009,11,17,1,22.06234054,537
