,Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel,FinalPrice
311,RPG 3,USA,Retail,Standard,XBOX,2009,10,28,NonCasual,371367,59.99
312,RPG 3,USA,Retail,Standard,XBOX,2009,10,29,NonCasual,353231,59.99
313,RPG 3,USA,Retail,Standard,XBOX,2009,10,30,NonCasual,331664,59.99
314,RPG 3,USA,Retail,Standard,XBOX,2009,10,31,NonCasual,304365,59.99
315,RPG 3,USA,Retail,Standard,XBOX,2009,10,32,NonCasual,275498,59.99
316,RPG 3,USA,Retail,Standard,XBOX,2009,10,33,NonCasual,231246,59.99
317,RPG 3,USA,Retail,Standard,XBOX,2009,10,34,NonCasual,157202,59.99
318,RPG 3,USA,Retail,Standard,XBOX,2009,10,35,NonCasual,268,59.99
319,RPG 3,USA,Retail,Standard,XBOX,2009,10,36,NonCasual,61,59.99
320,RPG 3,USA,Retail,Standard,XBOX,2009,10,37,NonCasual,50,59.99
321,RPG 3,USA,Retail,Standard,PC,2009,11,0,NonCasual,11007,59.99
322,RPG 3,USA,Retail,Standard,PC,2009,11,1,NonCasual,11007,59.99
323,RPG 3,USA,Retail,Standard,PC,2009,11,2,NonCasual,10545,59.99
324,RPG 3,USA,Retail,Standard,PC,2009,11,3,NonCasual,9887,59.99
325,RPG 3,USA,Retail,Standard,PC,2009,11,4,NonCasual,9439,59.99
326,RPG 3,USA,Retail,Standard,PC,2009,11,5,NonCasual,8646,59.99
327,RPG 3,USA,Retail,Standard,PC,2009,11,6,NonCasual,8124,59.99
328,RPG 3,USA,Retail,Standard,PC,2009,11,7,NonCasual,7637,59.99
329,RPG 3,USA,Retail,Standard,PC,2009,11,8,NonCasual,7275,59.99
330,RPG 3,USA,Retail,Standard,PC,2009,11,9,NonCasual,6955,59.99
331,RPG 3,USA,Retail,Standard,PC,2009,11,10,NonCasual,6790,59.99
332,RPG 3,USA,Retail,Standard,PC,2009,11,11,NonCasual,6617,59.99
333,RPG 3,USA,Retail,Standard,PC,2009,11,12,NonCasual,6400,59.99
334,RPG 3,USA,Retail,Standard,PC,2009,11,13,NonCasual,6211,59.99
335,RPG 3,USA,Retail,Standard,PC,2009,11,14,NonCasual,6096,59.99
336,RPG 3,USA,Retail,Standard,PC,2009,11,15,NonCasual,5986,59.99
337,RPG 3,USA,Retail,Standard,PC,2009,11,16,NonCasual,5854,59.99
338,RPG 3,USA,Retail,Standard,PC,2009,11,17,NonCasual,5733,59.99
339,RPG 3,USA,Retail,Standard,PC,2009,11,18,NonCasual,5587,59.99
340,RPG 3,USA,Retail,Standard,PC,2009,11,19,NonCasual,5436,59.99
341,RPG 3,USA,Retail,Standard,PC,2009,11,20,NonCasual,5313,59.99
342,RPG 3,USA,Retail,Standard,PC,2009,11,21,NonCasual,5221,59.99
343,RPG 3,USA,Retail,Standard,PC,2009,11,22,NonCasual,5108,59.99
344,RPG 3,USA,Retail,Standard,PC,2009,11,23,NonCasual,4929,59.99
