Installment,Region,Channel,Edition,Platform,ReleaseYear,ReleaseMonth,RelativeWeek,GameType,ReservesLevel
RPG 3,USA,Retail,Standard,PS3,2009,10,13,NonCasual,301049
RPG 3,USA,Retail,Standard,PS3,2009,10,14,NonCasual,294690
RPG 3,USA,Retail,Standard,PS3,2009,10,15,NonCasual,288602
RPG 3,USA,Retail,Standard,PS3,2009,10,16,NonCasual,282313
RPG 3,USA,Retail,Standard,PS3,2009,10,17,NonCasual,276945
RPG 3,USA,Retail,Standard,PS3,2009,10,18,NonCasual,274060
RPG 3,USA,Retail,Standard,PS3,2009,10,19,NonCasual,267105
RPG 3,USA,Retail,Standard,PS3,2009,10,20,NonCasual,258137
RPG 3,USA,Retail,Standard,PS3,2009,10,21,NonCasual,254923
RPG 3,USA,Retail,Standard,PS3,2009,10,22,NonCasual,245466
RPG 3,USA,Retail,Standard,PS3,2009,10,23,NonCasual,239362
RPG 3,USA,Retail,Standard,PS3,2009,10,24,NonCasual,233983
RPG 3,USA,Retail,Standard,PS3,2009,10,25,NonCasual,226656
RPG 3,USA,Retail,Standard,PS3,2009,10,26,NonCasual,221195
RPG 3,USA,Retail,Standard,PS3,2009,10,27,NonCasual,214929
RPG 3,USA,Retail,Standard,PS3,2009,10,28,NonCasual,205692
RPG 3,USA,Retail,Standard,PS3,2009,10,29,NonCasual,194983
RPG 3,USA,Retail,Standard,PS3,2009,10,30,NonCasual,182613
RPG 3,USA,Retail,Standard,PS3,2009,10,31,NonCasual,166131
RPG 3,USA,Retail,Standard,PS3,2009,10,32,NonCasual,148020
RPG 3,USA,Retail,Standard,PS3,2009,10,33,NonCasual,120704
RPG 3,USA,Retail,Standard,PS3,2009,10,34,NonCasual,74254
RPG 3,USA,Retail,Standard,PS3,2009,10,35,NonCasual,231
RPG 3,USA,Retail,Standard,PS3,2009,10,36,NonCasual,57
RPG 3,USA,Retail,Standard,PS3,2009,10,37,NonCasual,32
RPG 3,USA,Retail,Standard,XBOX360,2009,10,0,NonCasual,842641
RPG 3,USA,Retail,Standard,XBOX360,2009,10,1,NonCasual,842641
RPG 3,USA,Retail,Standard,XBOX360,2009,10,2,NonCasual,760197
RPG 3,USA,Retail,Standard,XBOX360,2009,10,3,NonCasual,713813
RPG 3,USA,Retail,Standard,XBOX360,2009,10,4,NonCasual,676423
RPG 3,USA,Retail,Standard,XBOX360,2009,10,5,NonCasual,646517
RPG 3,USA,Retail,Standard,XBOX360,2009,10,6,NonCasual,623587
RPG 3,USA,Retail,Standard,XBOX360,2009,10,7,NonCasual,610804
RPG 3,USA,Retail,Standard,XBOX360,2009,10,8,NonCasual,597466
RPG 3,USA,Retail,Standard,XBOX360,2009,10,9,NonCasual,584461
RPG 3,USA,Retail,Standard,XBOX360,2009,10,10,NonCasual,571464
RPG 3,USA,Retail,Standard,XBOX360,2009,10,11,NonCasual,560217
RPG 3,USA,Retail,Standard,XBOX360,2009,10,12,NonCasual,548650
RPG 3,USA,Retail,Standard,XBOX360,2009,10,13,NonCasual,538481
RPG 3,USA,Retail,Standard,XBOX360,2009,10,14,NonCasual,527759
RPG 3,USA,Retail,Standard,XBOX360,2009,10,15,NonCasual,517219
RPG 3,USA,Retail,Standard,XBOX360,2009,10,16,NonCasual,506517
RPG 3,USA,Retail,Standard,XBOX360,2009,10,17,NonCasual,496086
RPG 3,USA,Retail,Standard,XBOX360,2009,10,18,NonCasual,490299
RPG 3,USA,Retail,Standard,XBOX360,2009,10,19,NonCasual,478526
RPG 3,USA,Retail,Standard,XBOX360,2009,10,20,NonCasual,463196
RPG 3,USA,Retail,Standard,XBOX360,2009,10,21,NonCasual,455125
RPG 3,USA,Retail,Standard,XBOX360,2009,10,22,NonCasual,440466
RPG 3,USA,Retail,Standard,XBOX360,2009,10,23,NonCasual,429820
RPG 3,USA,Retail,Standard,XBOX360,2009,10,24,NonCasual,419652
RPG 3,USA,Retail,Standard,XBOX360,2009,10,25,NonCasual,406116
RPG 3,USA,Retail,Standard,XBOX360,2009,10,26,NonCasual,396549
RPG 3,USA,Retail,Standard,XBOX360,2009,10,27,NonCasual,386492
RPG 3,USA,Retail,Standard,XBOX360,2009,10,28,NonCasual,371367
RPG 3,USA,Retail,Standard,XBOX360,2009,10,29,NonCasual,353231
